battery,capacity,connectivity,display,fast_charge_point,features,front_camera,in_store,launch_date,oper_sys,perform,prod_brand,prod_name,prod_no_of_ratings,prod_price,prod_star,prod_url,product_availability,ram,rear_camera,refresh_rate
4500 mah battery with fast charging,4500,dual sim: nano + nano with volte support,17.02,Yes,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,8.0,256.0,,android v13,mediatek dimensity 6020 octa core processor,honor,honor x50i,0,16690,0.0,https://pricebaba.com/mobile/honor-x50i,in stock,8.0,100.0,90
2200 mah battery,2200,dual sim,12.7,No,3.5 mm headphone jack present,5.0,8.0,,android v4.2 (jelly bean) upgradable to v4.4 (kitkat),mediatek mt6592 octa core processor,wickedleak,wickedleak wammy neo youth,0,8490,0.0,https://pricebaba.com/mobile/wickedleak-wammy-neo-youth,in stock,1.0,13.0,60
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,16.94,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,16.0,128.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,xiaomi,xiaomi redmi k60 pro 5g,0,39290,0.0,https://pricebaba.com/mobile/xiaomi-redmi-k60-pro-5g,in stock,8.0,54.0,120
"4700 mah battery with flash charging, charges upto 100% in 10 minutes",4700,dual sim: nano + nano with volte support,17.22,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,16.0,128.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,iqoo,iqoo 11 pro 5g,0,59190,0.0,https://pricebaba.com/mobile/iqoo-11-pro-5g,in stock,8.0,50.0,144
"5000 mah battery with fast charging, charges upto 55% in 30 minutes",5000,dual sim: nano + nano with volte support,17.22,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,8.0,256.0,,android v13,mediatek helio g88 octa core processor,infinix,infinix hot 30,0,10999,0.0,https://pricebaba.com/mobile/infinix-hot-30,in stock,8.0,50.0,90
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,17.02,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,50.0,256.0,,android v13,qualcomm snapdragon 7 gen 1 octa core processor,honor,honor 90,0,29290,0.0,https://pricebaba.com/mobile/honor-90,in stock,12.0,200.0,120
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,17.3,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,128.0,,flyme os v10,qualcomm snapdragon 8 gen 2 octa core processor,meizu,meizu 20 pro,0,47890,0.0,https://pricebaba.com/mobile/meizu-20-pro,in stock,12.0,50.0,120
"4600 mah battery with flash charging, charges upto 70% in 30 minutes",4600,dual sim: nano + nano with volte support,17.22,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,50.0,256.0,,android v13,mediatek dimensity 8200 mt6896z octa core processor,vivo,vivo s17 pro,0,36040,0.0,https://pricebaba.com/mobile/vivo-s17-pro,in stock,8.0,50.0,120
"4700 mah battery with super vooc charging, charges upto 100% in 31 minutes",4700,dual sim: nano + nano with volte support,17.02,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,256.0,,android v13,qualcomm snapdragon 8 plus gen 1 octa core processor,oppo,oppo reno9 pro plus,0,45790,0.0,https://pricebaba.com/mobile/oppo-reno9-pro-plus,in stock,16.0,50.0,120
5000 mah battery with turbo charging,5000,dual sim: nano + nano (hybrid) with volte support,16.94,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,16.0,128.0,,android v11,qualcomm snapdragon 732g octa core processor,xiaomi,xiaomi redmi note 12 pro,0,19590,0.0,https://pricebaba.com/mobile/xiaomi-redmi-note-12-pro,in stock,6.0,108.0,120
"6000 mah battery with quick charging v5.0, charges upto 100% in 42 minutes",6000,dual sim: nano + nano with volte support,17.22,Yes,on-screen fingerprint sensor |face unlock|3.5 mm headphone jack present,32.0,256.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,asus,asus rog phone 7,0,74999,0.0,https://pricebaba.com/mobile/asus-rog-phone-7,in stock,12.0,50.0,165
5500 mah battery with fast charging,5500,dual sim: nano + nano with volte support,16.99,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,50.0,128.0,,android v13,qualcomm snapdragon 730g octa core processor,xiaomi,xiaomi redmi note 14 pro max,0,19990,0.0,https://pricebaba.com/mobile/xiaomi-redmi-note-14-pro-max,in stock,8.0,108.0,60
4500 mah battery with fast charging,4500,dual sim: nano + nano with volte support,16.94,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,256.0,,android v13,qualcomm snapdragon 7 plus gen 2 octa core processor,nokia,nokia 7610 5g,0,52990,0.0,https://pricebaba.com/mobile/nokia-7610-5g,in stock,12.0,108.0,120
"5000 mah battery with fast charging, charges upto 80% in 30 minutes",5000,dual sim: nano + nano with volte support,16.94,Yes,on-screen fingerprint sensor |face unlock|3.5 mm headphone jack present,32.0,256.0,,android v13,mediatek dimensity 8050 mt6893 octa core processor,infinix,infinix note 30 vip,0,24690,0.0,https://pricebaba.com/mobile/infinix-note-30-vip,in stock,8.0,108.0,120
4700 mah battery with flash charging,4700,dual sim: nano + nano with volte support,17.22,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,16.0,256.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,iqoo,iqoo 11s,0,43190,0.0,https://pricebaba.com/mobile/iqoo-11s,in stock,12.0,50.0,144
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,16.51,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,5.0,128.0,385,android v12,mediatek dimensity 700 mt6833 octa core processor,samsung,samsung galaxy m13 5g 128gb,0,15999,0.0,https://pricebaba.com/mobile/samsung-galaxy-m13-5g-128gb,in stock,6.0,50.0,90
